Institute_Name,Latitude,Longitude,State,Type
"Assam University, Silchar",24.6844556,92.7509562,Assam,GFTI
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,26.2494,78.1734,Madhya Pradesh,IIIT
"Birla Institute of Technology, Deoghar Off-Campus",23.4175695,85.4394094,Jharkhand,GFTI
"Birla Institute of Technology, Mesra, Ranchi",23.4175695,85.4394094,Jharkhand,GFTI
"Birla Institute of Technology, Patna Off-Campus",23.4175695,85.4394094,Bihar,GFTI
CU Jharkhand,24.8059996,76.6047585,Jharkhand,GFTI
Central University of Haryana,28.3518545,76.1420077,Haryana,GFTI
Central University of Jammu,32.613,74.8429,Jammu and Kashmir,GFTI
Central University of Karnataka,17.4316166,76.6717861,Karnataka,GFTI
"Central University of Punjab, Bathinda",30.1379651,74.7904002,Punjab,GFTI
"Central University of Rajasthan, Rajasthan",26.6276045,75.0288021,Rajasthan,GFTI
"Central institute of Technology Kokrajar, Assam",26.4781573,90.3011719,Assam,GFTI
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",21.1394,81.4285,Chhattisgarh,GFTI
"Delhi Technological University, Delhi",28.7508153,77.1162765,Delhi,GFTI
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",31.3959,75.5352,Punjab,NIT
"Gati Shakti Vishwavidyalaya, Vadodara",22.2819829,73.200207,Gujarat,GFTI
"Gautam Buddha University, Greater Noida",28.4345087,77.5205035,Uttar Pradesh,GFTI
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",25.200312,88.070607,West Bengal,GFTI
"Gurukula Kangri Vishwavidyalaya, Haridwar",29.920537,78.1240396,Uttarakhand,GFTI
HNB Garhwal University Srinagar (Garhwal),30.2254,78.8039,Jammu & Kashmir,GFTI
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,24.842872,93.9387167,,IIIT
"Indian Institute of Carpet Technology, Bhadohi",25.424304,82.4883923,,GFTI
"Indian Institute of Crop Processing Technology, Thanjavur, Tamilnadu",10.731218,79.1041358,,GFTI
"Indian Institute of Engineering Science and Technology, Shibpur",22.555057,88.3058486,,GFTI
"Indian Institute of Handloom Technology(IIHT), Varanasi",25.330175,83.001625,Uttar Pradesh,GFTI
"Indian Institute of Handloom Technology, Salem",11.6625496,78.1697402,,GFTI
Indian Institute of Information Technology (IIIT) Nagpur,21.0273,79.0317,Maharashtra,IIIT
Indian Institute of Information Technology (IIIT) Pune,18.7639403,73.6978647,Maharashtra,IIIT
Indian Institute of Information Technology (IIIT) Ranchi,23.2960209,85.2924572,Jharkhand,IIIT
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",21.1649329,79.0518565,Andhra Pradesh,IIIT
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",25.1416,75.8648,Rajasthan,IIIT
Indian Institute of Information Technology Bhagalpur,25.2558516,87.0413418,,IIIT
Indian Institute of Information Technology Bhopal,23.1765,77.301,Madhya Pradesh,IIIT
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",15.7584116,78.03808,,IIIT
Indian Institute of Information Technology Guwahati,26.0804088,91.5605235,Assam,IIIT
Indian Institute of Information Technology Lucknow,26.8002946,81.0241575,,IIIT
Indian Institute of Information Technology Manipur,24.842872,93.9387167,,IIIT
"Indian Institute of Information Technology Srirangam, Tiruchirappalli",10.8613,78.6928,Tamil Nadu,IIIT
Indian Institute of Information Technology Surat,21.1702,72.7852,Gujarat,IIIT
Indian Institute of Information Technology Tiruchirappalli,10.8613,78.6928,Tamil Nadu,IIIT
Indian Institute of Information Technology(IIIT) Dharwad,15.3919083,75.0247764,Karnataka,IIIT
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",22.9586667,88.4338555,West Bengal,IIIT
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",28.8229,77.1325,Haryana,IIIT
Indian Institute of Information Technology(IIIT) Kottayam,9.7554364,76.649535,,IIIT
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",31.4813182,76.190323,Himachal Pradesh,IIIT
"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andhra Pradesh",21.1649329,79.0518565,Andhra Pradesh,IIIT
"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh",21.1649329,79.0518565,Andhra Pradesh,IIIT
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",21.1649329,79.0518565,Gujarat,IIIT
"Indian Institute of Information Technology, Agartala",21.1649329,79.0518565,Tripura,IIIT
"Indian Institute of Information Technology, Allahabad",25.4297089,81.7728296,Uttar Pradesh,IIIT
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",21.1649329,79.0518565,Tamil Nadu,IIIT
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",21.1649329,79.0518565,Gujarat,IIIT
"Indian Institute of Science, Bangalore",13.0222347,77.5671832,,GFTI
Indian Institute of Technology (BHU) Varanasi,25.2621544,82.9925896,Uttar Pradesh,IIT
Indian Institute of Technology (ISM) Dhanbad,23.8116363,86.4421556,Jharkhand,IIT
Indian Institute of Technology Bhilai,21.2446287,81.3183069,Chhattisgarh,IIT
Indian Institute of Technology Bhubaneswar,20.1478932,85.6759728,Odisha,IIT
Indian Institute of Technology Bombay,19.1326186,72.9149702,Maharashtra,IIT
Indian Institute of Technology Delhi,28.5449971,77.1891506,Delhi,IIT
Indian Institute of Technology Dharwad,15.4862017,74.9385785,Karnataka,IIT
Indian Institute of Technology Gandhinagar,23.2127589,72.6847766,Gujarat,IIT
Indian Institute of Technology Goa,15.4232905,73.9789313,Goa,IIT
Indian Institute of Technology Guwahati,26.1924788,91.6946357,Assam,IIT
Indian Institute of Technology Hyderabad,17.5922751,78.1221891,Telangana,IIT
Indian Institute of Technology Indore,22.5269276,75.9262066,Madhya Pradesh,IIT
Indian Institute of Technology Jammu,32.8022368,74.8913825,Jammu and Kashmir,IIT
Indian Institute of Technology Jodhpur,26.4729401,73.1143375,Rajasthan,IIT
Indian Institute of Technology Kanpur,26.513188,80.2364843,Uttar Pradesh,IIT
Indian Institute of Technology Kharagpur,22.3146519,87.3099912,West Bengal,IIT
Indian Institute of Technology Madras,12.9941561,80.2366826,Tamil Nadu,IIT
Indian Institute of Technology Mandi,31.7063321,76.9385693,Himachal Pradesh,IIT
Indian Institute of Technology Palakkad,10.8018655,76.8185065,Kerala,IIT
Indian Institute of Technology Patna,25.5424381,84.8516072,Bihar,IIT
Indian Institute of Technology Roorkee,29.8661656,77.8957348,Uttarakhand,IIT
Indian Institute of Technology Ropar,30.9659501,76.4729772,,IIT
Indian Institute of Technology Tirupati,13.712786,79.5899932,Andhra Pradesh,IIT
Indian Maritime University - Visakhapatnam Campus,17.6868,83.2185,Bihar,GFTI
Indian School of Mines Dhanbad,23.8116363,86.4421556,Jharkhand,GFTI
"Indian institute of information technology, Raichur, Karnataka",21.1649329,79.0518565,Karnataka,IIIT
"Indira Gandhi Delhi Technical University for Women, New Delhi",28.6644969,77.2325612,Delhi,GFTI
"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",19.0239129,72.8587665,Odisha,GFTI
"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",8.7367637,76.8345148,,GFTI
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",8.9707927,76.5324564,,GFTI
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",23.1290566,72.5438894,,GFTI
"International Institute of Information Technology, Bhubaneswar",20.2951508,85.7440293,Odisha,IIIT
"International Institute of Information Technology, Naya Raipur",18.5845777,73.7368017,Chhattisgarh,IIIT
Islamic University of Science and Technology Kashmir,33.9233,75.0128,Jammu & Kashmir,GFTI
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",25.4591,81.85202,Uttar Pradesh,GFTI
"Jawaharlal Nehru University, Delhi",28.5401668,77.1645601,Delhi,GFTI
Malaviya National Institute of Technology Jaipur,26.8655326,75.8075078,Rajasthan,NIT
"Manipal Institute of Technology, Manipal",13.3467383,74.7943357,,GFTI
Maulana Azad National Institute of Technology Bhopal,23.2134131,77.4045416,Madhya Pradesh,NIT
"Mizoram University, Aizawl",23.7357935,92.6645375,Mizoram,GFTI
Motilal Nehru National Institute of Technology Allahabad,25.4924552,81.8638651,Uttar Pradesh,NIT
"National Institute of Advanced Manufacturing Technology, Ranchi",23.3441,85.3096,Jharkhand,GFTI
"National Institute of Electronics and Information Technology, Agartala",23.8313,91.2917,Tripura,IIIT
"National Institute of Electronics and Information Technology, Aizawl",23.7539393,92.7409744,,IIIT
"National Institute of Electronics and Information Technology, Ajmer (Rajasthan)",25.9673,74.9453,Rajasthan,IIIT
"National Institute of Electronics and Information Technology, Aurangabad (Maharashtra)",19.8833,75.3833,Maharashtra,IIIT
"National Institute of Electronics and Information Technology, Calicut",11.3145813,75.9270956,Kerala,IIIT
"National Institute of Electronics and Information Technology, Gorakhpur (UP)",26.7285652,83.4342065,,IIIT
"National Institute of Electronics and Information Technology, Imphal",24.8145,93.9535,Manipur,IIIT
"National Institute of Electronics and Information Technology, Kohima",25.672,94.125,Nagaland,IIIT
"National Institute of Electronics and Information Technology, Patna (Bihar)",25.537179631646538,84.8566657905412,Bihar,IIIT
"National Institute of Electronics and Information Technology, Ropar (Punjab)",30.9753,76.5273,Punjab,IIIT
"National Institute of Electronics and Information Technology, Srinagar",33.9963669,74.7906205,Jammu & Kashmir,IIIT
"National Institute of Food Technology Entrepreneurship and Management, Kundli",28.8794253,77.1345138,,GFTI
"National Institute of Food Technology Entrepreneurship and Management, Sonepat, Haryana",28.8794253,77.1345138,Haryana,GFTI
"National Institute of Food Technology Entrepreneurship and Management, Thanjavur",10.79,79.13,Tamil Nadu,GFTI
"National Institute of Food Technology, Entrepreneurship and Management (NIFTEM) - Thanjavur",10.7719,79.1413,Tamil Nadu,GFTI
"National Institute of Foundry & Forge Technology, Hatia, Ranchi",23.2945184,85.3097198,Jharkhand,GFTI
National Institute of Technical Teachers Training and Research Bhopal,23.3096,77.361,Madhya Pradesh,GFTI
National Institute of Technology Agartala,23.842073,91.4247249,Tripura,NIT
National Institute of Technology Arunachal Pradesh,27.0418324,93.4639568,Himachal Pradesh,NIT
National Institute of Technology Calicut,11.32158,75.934214,Kerala,NIT
National Institute of Technology Delhi,28.8138867,77.1325636,Delhi,NIT
National Institute of Technology Durgapur,23.5486963,87.2910571,West Bengal,NIT
National Institute of Technology Goa,15.1678002,74.0146192,Goa,NIT
National Institute of Technology Hamirpur,31.7074608,76.5263285,Himachal Pradesh,NIT
"National Institute of Technology Karnataka, Surathkal",13.011191,74.7960578,Karnataka,NIT
National Institute of Technology Meghalaya,25.5737229,91.8942209,Meghalaya,NIT
National Institute of Technology Nagaland,25.7875696,93.7746176,Nagaland,NIT
National Institute of Technology Patna,25.5354,84.8517,Bihar,NIT
National Institute of Technology Puducherry,10.9901791,79.8444169,,NIT
National Institute of Technology Raipur,21.2489371,81.6066672,Chhattisgarh,NIT
National Institute of Technology Sikkim,27.298,88.599,,NIT
"National Institute of Technology, Andhra Pradesh",16.8332103,81.5300068,,NIT
"National Institute of Technology, Jamshedpur",22.7758993,86.1478023,,NIT
"National Institute of Technology, Kurukshetra",29.9457523,76.8160287,Haryana,NIT
"National Institute of Technology, Manipur",24.8314984,93.9125767,,NIT
"National Institute of Technology, Mizoram",23.7539393,92.7409744,Mizoram,NIT
"National Institute of Technology, Rourkela",22.2501589,84.9066856,Odisha,NIT
"National Institute of Technology, Silchar",24.755222,92.7874485,Assam,NIT
"National Institute of Technology, Srinagar",34.1244218,74.841641,Jammu & Kashmir,NIT
"National Institute of Technology, Tiruchirappalli",10.7633854,78.8150292,Tamil Nadu,NIT
"National Institute of Technology, Uttarakhand",10.7633854,78.8150292,,NIT
"National Institute of Technology, Warangal",17.9833537,79.5335163,Telangana,NIT
"Netaji Subhas University of Technology, Delhi",28.6109477,77.0384563,Delhi,GFTI
"North Eastern Regional Institute of Science and Technology, Nirjuli-791109 (Itanagar),Arunachal Pradesh",27.1312181,93.7417685,Himachal Pradesh,GFTI
"North-Eastern Hill University, Shillong",25.6138516,91.9014978,,GFTI
"Pandit Deendayal Energy University, Gandhinagar",23.1563544,72.6652774,Gujarat,GFTI
"Pondicherry Engineering College, Puducherry",12.0134296,79.849917,,GFTI
"Pt. Dwarka Prasad Mishra Indian Institute of Information Technology, Design & Manufacture Jabalpur",23.1778,80.0246,Madhya Pradesh,IIIT
"Puducherry Technological University, Puducherry",11.9395,79.8083,,GFTI
"Punjab Engineering College, Chandigarh",30.7664869,76.7850788,Punjab,GFTI
"Rajiv Gandhi National Aviation University, Fursatganj, Amethi (UP)",26.2482,81.8128,,GFTI
Sant Longowal Institute of Engineering and Technology,30.1907,75.6922,,GFTI
"Sardar Vallabhbhai National Institute of Technology, Surat",21.1634495,72.7861213,Gujarat,NIT
"School of Engineering, Tezpur University, Napaam, Tezpur",17.4316493,76.671676,,GFTI
"School of Planning & Architecture, Bhopal",23.2970143,77.268648,Madhya Pradesh,GFTI
"School of Planning & Architecture, New Delhi",28.6326915,77.2455905,Delhi,GFTI
School of Planning & Architecture: Vijayawada,16.5057628,80.6564387,,GFTI
"School of Studies of Engineering and Technology, Guru Ghasidas Vishwavidyalaya, Bilaspur",22.129361,82.136083,Chhattisgarh,GFTI
Shri G. S. Institute of Technology and Science Indore,22.7265601,75.8731082,Madhya Pradesh,GFTI
"Shri Mata Vaishno Devi University, Katra, Jammu & Kashmir",32.9414103,74.9541522,Jammu and Kashmir,GFTI
University of Hyderabad,17.4530357,78.3270312,Telangana,GFTI
"Visvesvaraya National Institute of Technology, Nagpur",21.1260842,79.0497523,Maharashtra,NIT
"lndian Institute of Food Processing Technology, Thanjavur, Tamil Naidu.",10.731218,79.1041358,,GFTI
