Institute_Name,Type,NIRF_Rank,Annual_Fees_INR,Median_Package_LPA
"Assam University, Silchar",GFTI,,,
Atal Bihari Vajpayee Indian Institute of Information Technology & Management Gwalior,IIIT,,,
"Birla Institute of Technology, Deoghar Off-Campus",GFTI,,,
"Birla Institute of Technology, Mesra, Ranchi",GFTI,,,
"Birla Institute of Technology, Patna Off-Campus",GFTI,,,
CU Jharkhand,GFTI,,,
Central University of Haryana,GFTI,,,
Central University of Jammu,GFTI,,,
Central University of Karnataka,GFTI,,,
"Central University of Punjab, Bathinda",GFTI,,,
"Central University of Rajasthan, Rajasthan",GFTI,,,
"Central institute of Technology Kokrajar, Assam",GFTI,,,
"Chhattisgarh Swami Vivekanada Technical University, Bhilai (CSVTU Bhilai)",GFTI,,,
"Delhi Technological University, Delhi",GFTI,,,
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",NIT,,,
"Gati Shakti Vishwavidyalaya, Vadodara",GFTI,,,
"Gautam Buddha University, Greater Noida",GFTI,,,
"Ghani Khan Choudhary Institute of Engineering and Technology, Malda, West Bengal",GFTI,,,
"Gurukula Kangri Vishwavidyalaya, Haridwar",GFTI,,,
HNB Garhwal University Srinagar (Garhwal),GFTI,,,
INDIAN INSTITUTE OF INFORMATION TECHNOLOGY SENAPATI MANIPUR,IIIT,,,
"Indian Institute of Carpet Technology, Bhadohi",GFTI,,,
"Indian Institute of Crop Processing Technology, Thanjavur, Tamilnadu",GFTI,,,
"Indian Institute of Engineering Science and Technology, Shibpur",GFTI,,,
"Indian Institute of Handloom Technology(IIHT), Varanasi",GFTI,,,
"Indian Institute of Handloom Technology, Salem",GFTI,,,
Indian Institute of Information Technology (IIIT) Nagpur,IIIT,,,
Indian Institute of Information Technology (IIIT) Pune,IIIT,,,
Indian Institute of Information Technology (IIIT) Ranchi,IIIT,,,
"Indian Institute of Information Technology (IIIT), Sri City, Chittoor",IIIT,,,
"Indian Institute of Information Technology (IIIT)Kota, Rajasthan",IIIT,,,
Indian Institute of Information Technology Bhagalpur,IIIT,,,
Indian Institute of Information Technology Bhopal,IIIT,,,
"Indian Institute of Information Technology Design & Manufacturing Kurnool, Andhra Pradesh",IIIT,,,
Indian Institute of Information Technology Guwahati,IIIT,,,
Indian Institute of Information Technology Lucknow,IIIT,,,
Indian Institute of Information Technology Manipur,IIIT,,,
"Indian Institute of Information Technology Srirangam, Tiruchirappalli",IIIT,,,
Indian Institute of Information Technology Surat,IIIT,,,
Indian Institute of Information Technology Tiruchirappalli,IIIT,,,
Indian Institute of Information Technology(IIIT) Dharwad,IIIT,,,
"Indian Institute of Information Technology(IIIT) Kalyani, West Bengal",IIIT,,,
"Indian Institute of Information Technology(IIIT) Kilohrad, Sonepat, Haryana",IIIT,,,
Indian Institute of Information Technology(IIIT) Kottayam,IIIT,,,
"Indian Institute of Information Technology(IIIT) Una, Himachal Pradesh",IIIT,,,
"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andhra Pradesh",IIIT,,,
"Indian Institute of Information Technology(IIIT), Sri City, Chittoor District, Andra Pradesh",IIIT,,,
"Indian Institute of Information Technology(IIIT), Vadodara, Gujrat",IIIT,,,
"Indian Institute of Information Technology, Agartala",IIIT,,,
"Indian Institute of Information Technology, Allahabad",IIIT,,,
"Indian Institute of Information Technology, Design & Manufacturing, Kancheepuram",IIIT,,,
"Indian Institute of Information Technology, Vadodara International Campus Diu (IIITVICD)",IIIT,,,
"Indian Institute of Science, Bangalore",GFTI,,,
Indian Institute of Technology (BHU) Varanasi,IIT,,,
Indian Institute of Technology (ISM) Dhanbad,IIT,,,
Indian Institute of Technology Bhilai,IIT,,,
Indian Institute of Technology Bhubaneswar,IIT,,,
Indian Institute of Technology Bombay,IIT,,,
Indian Institute of Technology Delhi,IIT,,,
Indian Institute of Technology Dharwad,IIT,,,
Indian Institute of Technology Gandhinagar,IIT,,,
Indian Institute of Technology Goa,IIT,,,
Indian Institute of Technology Guwahati,IIT,,,
Indian Institute of Technology Hyderabad,IIT,,,
Indian Institute of Technology Indore,IIT,,,
Indian Institute of Technology Jammu,IIT,,,
Indian Institute of Technology Jodhpur,IIT,,,
Indian Institute of Technology Kanpur,IIT,,,
Indian Institute of Technology Kharagpur,IIT,,,
Indian Institute of Technology Madras,IIT,,,
Indian Institute of Technology Mandi,IIT,,,
Indian Institute of Technology Palakkad,IIT,,,
Indian Institute of Technology Patna,IIT,,,
Indian Institute of Technology Roorkee,IIT,,,
Indian Institute of Technology Ropar,IIT,,,
Indian Institute of Technology Tirupati,IIT,,,
Indian Maritime University - Visakhapatnam Campus,GFTI,,,
Indian School of Mines Dhanbad,GFTI,,,
"Indian institute of information technology, Raichur, Karnataka",IIIT,,,
"Indira Gandhi Delhi Technical University for Women, New Delhi",GFTI,,,
"Institute of Chemical Technology, Mumbai: Indian Oil Odisha Campus, Bhubaneswar",GFTI,,,
"Institute of Engineering and Technology, Dr. H. S. Gour University. Sagar (A Central University)",GFTI,,,
"Institute of Infrastructure, Technology, Research and Management-Ahmedabad",GFTI,,,
"Institute of Technology, Guru Ghasidas Vishwavidyalaya (A Central University), Bilaspur, (C.G.)",GFTI,,,
"International Institute of Information Technology, Bhubaneswar",IIIT,,,
"International Institute of Information Technology, Naya Raipur",IIIT,,,
Islamic University of Science and Technology Kashmir,GFTI,,,
"J.K. Institute of Applied Physics & Technology, Department of Electronics & Communication, University of Allahabad- Allahabad",GFTI,,,
"Jawaharlal Nehru University, Delhi",GFTI,,,
Malaviya National Institute of Technology Jaipur,NIT,,,
